fileID,f1,f2,vot,notes
bi03_kaka,1186.61,1878.81,19.20,
bi03_kaka1,893.84,1538.69,33.36,
bi03_kaka2,866.38,1649.84,30.24,
bi03_keke,543.25,2435.92,22.99,
bi03_keke1,528.64,2275.30,23.07,
bi03_keke2,415.52,2444.35,22.25,
bi03_kiki,423.84,2688.17,29.85,
bi03_kiki1,354.55,2691.80,28.70,
bi03_kiki2,330.86,2680.39,27.51,
bi03_koko,468.83,859.06,29.17,
bi03_koko1,564.60,894.58,31.34,
bi03_koko2,800.29,1125.29,30.80,
bi03_kuku,409.60,757.82,28.93,
bi03_kuku1,268.71,1672.38,27.38,
bi03_kuku2,412.88,828.82,32.04,
bi03_paka,951.74,1685.54,9.60,
bi03_paka1,775.39,1621.83,5.70,
bi03_paka2,664.30,1774.27,13.76,
bi03_peke,325.71,1747.11,10.95,
bi03_peke1,559.00,2333.50,12.95,
bi03_peke2,907.71,2459.08,2.45,
bi03_piki,368.06,2697.73,18.52,
bi03_piki1,331.49,2866.82,16.80,
bi03_piki2,1481.92,2709.42,18.83,
bi03_poko,529.06,893.98,30.48,
bi03_poko1,607.74,1722.21,16.99,
bi03_poko2,523.16,875.75,18.83,
bi03_puku,531.43,1027.18,22.34,
bi03_puku1,679.86,1514.43,31.91,
bi03_puku2,422.56,827.70,15.80,
bi03_taka,806.48,1641.91,14.98,
bi03_taka1,849.09,1637.70,16.07,
bi03_taka2,866.95,1520.75,13.05,
bi03_teke,469.19,2347.94,14.67,
bi03_teke1,451.07,2418.68,15.38,
bi03_teke2,448.37,2401.06,12.66,
bi03_tiki,357.49,2505.76,20.58,
bi03_tiki1,1049.68,2528.34,15.78,
bi03_tiki2,404.45,1941.21,24.06,
bi03_toko,800.55,912.00,15.35,
bi03_toko1,754.14,1127.22,14.66,
bi03_toko2,773.78,1062.80,15.20,
bi03_tuku,650.62,771.62,14.52,
bi03_tuku1,398.81,734.09,6.71,
bi03_tuku2,400.55,746.76,15.19,
